id,sales
100000,2.485477385
100001,2.485477385
100002,2.485477385
100003,2.485477385
100004,2.485477385
100005,2.485477385
100006,2.485477385
100007,2.485477385
100008,2.485477385
100009,2.485477385
100010,2.485477385
100011,2.485477385
100012,2.485477385
100013,2.485477385
100014,2.485477385
100015,2.485477385
100016,2.485477385
100017,2.485477385
100018,2.485477385
100019,2.485477385
100020,2.485477385
100021,2.485477385
100022,2.485477385
100023,2.485477385
100024,2.485477385
100025,2.485477385
100026,2.485477385
100027,2.485477385
100028,2.485477385
100029,2.485477385
100030,2.485477385
100031,2.485477385
100032,2.485477385
100033,2.485477385
100034,2.485477385
100035,2.485477385
100036,2.485477385
100037,2.485477385
100038,2.485477385
100039,2.485477385
100040,2.485477385
100041,2.485477385
100042,2.485477385
100043,2.485477385
100044,2.485477385
100045,2.485477385
100046,2.485477385
100047,2.485477385
100048,2.485477385
100049,2.485477385
100050,2.485477385
100051,2.485477385
100052,2.485477385
100053,2.485477385
100054,2.485477385
100055,2.485477385
100056,2.485477385
100057,2.485477385
100058,2.485477385
100059,2.485477385
100060,2.485477385
100061,2.485477385
100062,2.485477385
100063,2.485477385
100064,2.485477385
100065,2.485477385
100066,2.485477385
100067,2.485477385
100068,2.485477385
100069,2.485477385
100070,2.485477385
100071,2.485477385
100072,2.485477385
100073,2.485477385
100074,2.485477385
100075,2.485477385
100076,2.485477385
100077,2.485477385
100078,2.485477385
100079,2.485477385
100080,2.485477385
100081,2.485477385
100082,2.485477385
100083,2.485477385
100084,2.485477385
100085,2.485477385
100086,2.485477385
100087,2.485477385
100088,2.485477385
100089,2.485477385
100090,2.485477385
100091,2.485477385
100092,2.485477385
100093,2.485477385
100094,2.485477385
100095,2.485477385
100096,2.485477385
100097,2.485477385
100098,2.485477385
100099,2.485477385
100100,2.485477385
100101,2.485477385
100102,2.485477385
100103,2.485477385
100104,2.485477385
100105,2.485477385
100106,2.485477385
100107,2.485477385
100108,2.485477385
100109,2.485477385
100110,2.485477385
100111,2.485477385
100112,2.485477385
100113,2.485477385
100114,2.485477385
100115,2.485477385
100116,2.485477385
100117,2.485477385
100118,2.485477385
100119,2.485477385
100120,2.485477385
100121,2.485477385
100122,2.485477385
100123,2.485477385
100124,2.485477385
100125,2.485477385
100126,2.485477385
100127,2.485477385
100128,2.485477385
100129,2.485477385
100130,2.485477385
100131,2.485477385
100132,2.485477385
100133,2.485477385
100134,2.485477385
100135,2.485477385
100136,2.485477385
100137,2.485477385
100138,2.485477385
100139,2.485477385
100140,2.485477385
100141,2.485477385
100142,2.485477385
100143,2.485477385
100144,2.485477385
100145,2.485477385
100146,2.485477385
100147,2.485477385
100148,2.485477385
100149,2.485477385
100150,2.485477385
100151,2.485477385
100152,2.485477385
100153,2.485477385
100154,2.485477385
100155,2.485477385
100156,2.485477385
100157,2.485477385
100158,2.485477385
100159,2.485477385
100160,2.485477385
100161,2.485477385
100162,2.485477385
100163,2.485477385
100164,2.485477385
100165,2.485477385
100166,2.485477385
100167,2.485477385
100168,2.485477385
100169,2.485477385
100170,2.485477385
100171,2.485477385
100172,2.485477385
100173,2.485477385
100174,2.485477385
100175,2.485477385
100176,2.485477385
100177,2.485477385
100178,2.485477385
100179,2.485477385
100180,2.485477385
100181,2.485477385
100182,2.485477385
100183,2.485477385
100184,2.485477385
100185,2.485477385
100186,2.485477385
100187,2.485477385
100188,2.485477385
100189,2.485477385
100190,2.485477385
100191,2.485477385
100192,2.485477385
100193,2.485477385
100194,2.485477385
100195,2.485477385
100196,2.485477385
100197,2.485477385
100198,2.485477385
100199,2.485477385
100200,2.485477385
100201,2.485477385
100202,2.485477385
100203,2.485477385
100204,2.485477385
100205,2.485477385
100206,2.485477385
100207,2.485477385
100208,2.485477385
100209,2.485477385
100210,2.485477385
100211,2.485477385
100212,2.485477385
100213,2.485477385
100214,2.485477385
100215,2.485477385
100216,2.485477385
100217,2.485477385
100218,2.485477385
100219,2.485477385
100220,2.485477385
100221,2.485477385
100222,2.485477385
100223,2.485477385
100224,2.485477385
100225,2.485477385
100226,2.485477385
100227,2.485477385
