mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
-0.706438700650983,8,1.090603697954175,0.6731176189353574,0.6308698741675456,-1.2954983442942447,70,1,chevrolet chevelle malibu
-1.0907506236404463,8,1.5035143043761154,1.5899581813455976,0.8543329711977774,-1.477037792582784,70,1,buick skylark 320
-0.706438700650983,8,1.196231992620253,1.1970265117412089,0.5504704530138114,-1.6585772408713233,70,1,plymouth satellite
-0.9626466493106252,8,1.061795981227063,1.1970265117412089,0.5469234197276172,-1.2954983442942447,70,1,amc rebel sst
-0.834542674980804,8,1.0425908367423216,0.9350720653382831,0.5658409305873193,-1.8401166891598626,70,1,ford torino
-1.0907506236404463,8,2.262117511523401,2.4544078544752526,1.620492161015715,-2.0216561374484017,70,1,ford galaxie 500
-1.2188545979702672,8,2.502181817582669,3.0307076365616896,1.635862638589223,-2.3847350340254803,70,1,chevrolet impala
-1.2188545979702672,8,2.3677458061894785,2.8997304133602264,1.586204172582505,-2.56627448231402,70,1,plymouth fury iii
-1.2188545979702672,8,2.5117843898250394,3.1616848597631524,1.7198090930291514,-2.0216561374484017,70,1,pontiac catalina
-1.0907506236404463,8,1.8876171940709434,2.244844297352912,1.0399610465086049,-2.56627448231402,70,1,amc ambassador dpl
-1.0907506236404463,8,1.8203991883743487,1.7209354045470606,0.7006281954626973,-2.0216561374484017,70,1,dodge challenger se
-1.2188545979702672,8,1.4074885819524083,1.4589809581441346,0.755016039184341,-2.747813930602559,70,1,plymouth 'cuda 340
-1.0907506236404463,8,1.9836429164946505,1.1970265117412089,0.9347323923515116,-2.203195585736941,70,1,chevrolet monte carlo
-1.2188545979702672,8,2.5117843898250394,3.1616848597631524,0.13664990295782647,-2.0216561374484017,70,1,buick estate wagon (sw)
0.06218514532794337,4,-0.7722953170657413,-0.24372294347488296,-0.7075440191563827,-0.206261654563009,70,3,toyota corona mark ii
-0.19402280333169875,6,0.0439233235357685,-0.24372294347488296,-0.16248323751121402,-0.02472220627446969,70,1,plymouth duster
-0.706438700650983,6,0.0535258957781392,-0.1913320541942978,-0.23224155880636577,-0.02472220627446969,70,1,amc hornet
-0.3221267776615198,6,0.0631284680205099,-0.5056773898778087,-0.4533399669791348,0.1568172420140696,70,1,ford maverick
0.44649706831740654,4,-0.9259364729436725,-0.42709105595693103,-0.993671370909378,-0.3878011028515483,70,3,datsun pl510
0.3183930939875855,4,-0.9259364729436725,-1.5272997308492193,-1.3424629773851366,1.790672276610923,70,2,volkswagen 1131 deluxe sedan
0.19028911965776443,4,-0.8011030337928534,-0.4532865005972236,-0.35284069053696704,0.7014355868796874,70,2,peugeot 504
0.06218514532794337,4,-0.8299107505199654,-0.37470016667634587,-0.6389680422899623,-0.3878011028515483,70,2,audi 100 ls
0.19028911965776443,4,-0.8587184672470776,-0.24372294347488296,-0.7039969858701886,0.7014355868796874,70,2,saab 99e
0.3183930939875855,4,-0.6954747391267756,0.22779506005038347,-0.8707075503213139,-1.1139588960057054,70,2,bmw 2002
-0.3221267776615198,6,0.0535258957781392,-0.37470016667634587,-0.3812169568265203,-0.206261654563009,70,1,amc gremlin
-1.7312704952895515,8,1.5995400267998223,2.8997304133602264,1.9444545344881146,-0.5693405511400875,70,1,ford f250
-1.7312704952895515,8,1.090603697954175,2.506798743755838,1.6618742160213136,-0.206261654563009,70,1,chevy c20
-1.6031665209597303,8,1.196231992620253,2.7687531901587636,1.6689682825937018,-0.7508799994286268,70,1,dodge d200
-1.8593744696193726,8,1.061795981227063,2.32343063127379,2.082788832649687,1.064514483456766,70,1,hi 1200d
0.44649706831740654,4,-0.9259364729436725,-0.42709105595693103,-0.993671370909378,-0.3878011028515483,71,3,datsun pl510
0.5746010426472277,4,-0.5130258665217323,-0.37470016667634587,-0.8352372174593723,-0.02472220627446969,71,1,chevrolet vega 2300
0.19028911965776443,4,-0.7722953170657413,-0.24372294347488296,-0.8778016168937022,-0.5693405511400875,71,3,toyota corona
0.19028911965776443,4,-0.9163339007013018,-0.2830161104353218,-1.0929883029228142,1.2460539317453052,71,1,ford pinto
-0.5783347263211619,6,0.37041077977637243,-0.11274572027342007,-0.3977697788287597,-0.9324194477171661,71,1,amc gremlin
-0.9626466493106252,6,0.30319277407977746,0.018231502928042827,0.5540174863000055,-0.02472220627446969,71,1,plymouth satellite custom
-0.834542674980804,6,0.5432570801390451,-0.11274572027342007,0.4239595991395531,-0.02472220627446969,71,1,chevrolet chevelle malibu
-0.5783347263211619,6,0.5432570801390451,-0.42709105595693103,0.3920362995638057,-0.02472220627446969,71,1,ford torino 500
-0.706438700650983,6,0.37041077977637243,-0.11274572027342007,0.3754834775615663,-0.02472220627446969,71,1,amc matador
-1.2188545979702672,8,1.5035143043761154,1.5899581813455976,1.4644226964231721,-1.2954983442942447,71,1,chevrolet impala
-1.2188545979702672,8,1.9836429164946505,1.8519126277485234,1.7659205257496755,-1.477037792582784,71,1,pontiac catalina brougham
-1.2188545979702672,8,1.5131168766184862,1.2756128456620868,1.399393752842946,-0.7508799994286268,71,1,ford galaxie 500
-1.2188545979702672,8,1.196231992620253,1.1970265117412089,1.3308177759765256,-0.9324194477171661,71,1,plymouth fury iii
-1.4750625466299094,8,1.8203991883743487,1.9828898509499864,2.346451640256786,-1.477037792582784,71,1,dodge monaco (sw)
-1.3469585723000883,8,1.9836429164946505,1.7209354045470606,2.0993416546519263,-1.2954983442942447,71,1,ford country squire (sw)
