height,length,width,weight,metal-bronze,metal-gold,metal-platinum,metal-silver,metal-tin,shape-box,shape-cylinder,shape-sphere
0.16707379473201064,-0.1719110713704811,-0.16754792526979007,1235.82,0,0,0,1,0,0,1,0
-1.2252078280347436,0.1792862143710536,0.18275089402728306,525.34,1,0,0,0,0,0,1,0
-1.2252078280347436,-1.2255029285950851,-1.2184443831610094,38.91,1,0,0,0,0,0,0,1
0.16707379473201064,0.1792862143710536,0.18275089402728306,1186.39,0,0,0,1,0,0,0,1
1.5593554174987647,0.1792862143710536,0.18275089402728306,2066.85,0,0,0,0,1,0,1,0
1.5593554174987647,-1.2255029285950851,-1.2184443831610094,292.4,0,0,0,0,1,1,0,0
0.16707379473201064,-1.57670021433662,-0.5178467445668632,175.44,0,0,0,0,1,1,0,0
0.8632146061153877,-1.2255029285950851,-0.5178467445668632,1349.76,0,0,1,0,0,1,0,0
-0.1809966109596779,-0.8743056428535505,-0.8681455638639364,370.75,0,0,0,1,0,0,1,0
-1.2252078280347436,1.2328780715956578,1.5839461712155756,3796.2,0,0,1,0,0,1,0,0
0.8632146061153877,-1.2255029285950851,1.2336473519185025,3036.96,0,0,1,0,0,1,0,0
0.8632146061153877,-0.8743056428535505,-0.8681455638639364,1192.61,0,0,1,0,0,0,1,0
0.16707379473201064,-1.2255029285950851,-1.2184443831610094,197.73,0,0,0,1,0,0,1,0
-1.573278233726432,0.1792862143710536,0.18275089402728306,206.69,0,0,0,0,1,0,1,0
-0.5290670166513665,-0.5231083571120158,-0.5178467445668632,706.73,0,0,1,0,0,0,0,1
-0.1809966109596779,-1.2255029285950851,-0.8681455638639364,314.7,0,0,0,1,0,1,0,0
1.2112850118070762,1.2328780715956578,1.2336473519185025,7374.51,0,1,0,0,0,0,0,1
1.2112850118070762,-0.5231083571120158,-0.16754792526979007,1315.8,0,0,0,0,1,1,0,0
0.5151442004236991,1.5840753573371924,0.5330497133243562,9466.8,0,1,0,0,0,1,0,0
0.16707379473201064,0.1792862143710536,0.18275089402728306,2185.04,0,1,0,0,0,0,0,1
1.5593554174987647,1.5840753573371924,1.5839461712155756,4864.23,1,0,0,0,0,0,0,1
1.2112850118070762,0.1792862143710536,0.18275089402728306,5366.75,0,0,1,0,0,0,1,0
-0.1809966109596779,-0.1719110713704811,-0.16754792526979007,478.44,0,0,0,0,1,0,0,1
-1.2252078280347436,-1.2255029285950851,-1.2184443831610094,43.94,0,0,0,1,0,0,0,1
