mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,ideal,predict
-0.7055506566787524,4,1.0892327311043006,0.6722714619460138,0.6300768256149947,-1.2938698102195538,70,-0.714245792297648,8,8
-1.0893794720944756,4,1.5016242793620076,1.5879594901955467,0.8532590135498569,-1.4751810504376317,70,-0.714245792297648,8,8
-0.7055506566787524,4,1.1947282434492954,1.1955217638028897,0.5497784722839332,-1.6564922906557096,70,-0.714245792297648,8,8
-0.9614365336225679,4,1.0604612277374839,1.1955217638028897,0.5462358978722687,-1.2938698102195538,70,-0.714245792297648,8,8
-0.8334935951506601,4,1.0412802254929394,0.9338966128744518,0.5651296280678125,-1.8378035308737874,70,-0.714245792297648,8,8
-1.0893794720944756,4,2.259273868021516,2.451322488259392,1.6184550864693843,-2.019114771091865,70,-0.714245792297648,8,8
-1.2173224105663834,4,2.4990363960783224,3.0268978203019556,1.6338062422532638,-2.381737251528021,70,-0.714245792297648,8,8
-1.2173224105663834,4,2.3647693803665106,2.8960852448377365,1.5842102004899612,-2.5630484917460987,70,-0.714245792297648,8,8
-1.2173224105663834,4,2.5086268972005947,3.1577103957661743,1.7176471699959899,-2.019114771091865,70,-0.714245792297648,8,8
-1.0893794720944756,4,1.885244324252898,2.2420223675166415,1.0386537410936312,-2.5630484917460987,70,-0.714245792297648,8,8
-1.0893794720944756,4,1.8181108163969921,1.7187720656597656,0.6997474557110628,-2.019114771091865,70,-0.714245792297648,8,8
-1.2173224105663834,4,1.4057192681392852,1.4571469147313276,0.7540669300232514,-2.7443597319641766,70,-0.714245792297648,8,8
-1.0893794720944756,4,1.9811493354756204,1.1955217638028897,0.9335573668809184,-2.200426011309943,70,-0.714245792297648,8,8
-1.2173224105663834,4,2.5086268972005947,3.1577103957661743,0.13647812425641057,-2.019114771091865,70,-0.714245792297648,8,8
0.06210697415269408,1,-0.7713244866165171,-0.24341656630351904,-0.7066545857197355,-0.20600236891108692,70,1.7793491667765966,4,4
-0.1937789027911214,3,0.043868108776624726,-0.24341656630351904,-0.1622789844606272,-0.02469112869300909,70,-0.714245792297648,6,6
-0.7055506566787524,3,0.05345860989889698,-0.19109153611783145,-0.2319496145566953,-0.02469112869300909,70,-0.714245792297648,6,6
-0.3217218412630291,3,0.06304911102116924,-0.505041717231957,-0.4527700862171145,0.15662011152506874,70,-0.714245792297648,6,4
0.4459357895684173,1,-0.9247725045728732,-0.4265541719534256,-0.9924222549273368,-0.38731360912916474,70,1.7793491667765966,4,4
0.31799285109650954,1,-0.9247725045728732,-1.5253798058528651,-1.3407754054076773,1.7884212734877691,70,0.5325516872394743,4,4
0.19004991262460183,1,-0.8000959899833339,-0.4527166870462694,-0.3523971445532876,0.7005538321793022,70,0.5325516872394743,4,4
0.06210697415269408,1,-0.8288674933501506,-0.374229141767738,-0.638164813760889,-0.38731360912916474,70,0.5325516872394743,4,4
0.19004991262460183,1,-0.8576389967169673,-0.24341656630351904,-0.703112011308071,0.7005538321793022,70,0.5325516872394743,4,4
0.31799285109650954,1,-0.694600477638339,0.2275087053676693,-0.8696130086563015,-1.112558570001476,70,0.5325516872394743,4,4
-0.3217218412630291,3,0.05345860989889698,-0.374229141767738,-0.3807377398466034,-0.20600236891108692,70,-0.714245792297648,6,6
-1.7290941644540143,4,1.5975292905847303,2.8960852448377365,1.9420102160680734,-0.5686248493472426,70,-0.714245792297648,8,8
-1.7290941644540143,4,1.0892327311043006,2.5036475184450797,1.6597851212721366,-0.20600236891108692,70,-0.714245792297648,8,8
-1.6011512259821066,4,1.1947282434492954,2.7652726693735175,1.6668702700954656,-0.7499360895653204,70,-0.714245792297648,8,8
-1.857037102925922,4,1.0604612277374839,2.320509912795173,2.080170618122988,1.0631763126154579,70,-0.714245792297648,8,8
0.4459357895684173,1,-0.9247725045728732,-0.4265541719534256,-0.9924222549273368,-0.38731360912916474,71,1.7793491667765966,4,4
0.573878728040325,1,-0.5123809563151661,-0.374229141767738,-0.8341872645396567,-0.02469112869300909,71,-0.714245792297648,4,4
0.19004991262460183,1,-0.7713244866165171,-0.24341656630351904,-0.8766981574796305,-0.5686248493472426,71,1.7793491667765966,4,4
0.19004991262460183,1,-0.9151820034506009,-0.28266033894278475,-1.0916143384539423,1.2444875528335357,71,-0.714245792297648,4,4
-0.5776077182068446,3,0.3699451469338814,-0.11260399083930006,-0.39726975376770435,-0.9312473297833982,71,-0.714245792297648,6,6
-0.9614365336225679,3,0.30281163907797565,0.018208584624918926,0.5533210466955977,-0.02469112869300909,71,-0.714245792297648,6,6
-0.8334935951506601,3,0.542574167134782,-0.11260399083930006,0.4234266516012334,-0.02469112869300909,71,-0.714245792297648,6,6
-0.5776077182068446,3,0.542574167134782,-0.4265541719534256,0.39154348189625304,-0.02469112869300909,71,-0.714245792297648,6,6
-0.7055506566787524,3,0.3699451469338814,-0.11260399083930006,0.37501146797515217,-0.02469112869300909,71,-0.714245792297648,6,6
-1.2173224105663834,4,1.5016242793620076,1.5879594901955467,1.4625818123561474,-1.2938698102195538,71,-0.714245792297648,8,8
-1.2173224105663834,4,1.9811493354756204,1.8495846411239847,1.763700637347628,-1.4751810504376317,71,-0.714245792297648,8,8
-1.2173224105663834,4,1.51121478048428,1.274009309081421,1.3976346148089651,-0.7499360895653204,71,-0.714245792297648,8,8
